,GeoName,2016
0,AL,203829.8
1,AK,49363.4
2,AZ,311091.0
3,AR,120374.8
4,CA,2657797.6
5,CO,329368.3
6,CT,263696.4
7,DE,69549.7
10,FL,938774.2
11,GA,539525.1
13,HI,85843.8
14,ID,69029.4
15,IL,806315.5
16,IN,338126.1
17,IA,179546.6
18,KS,156857.4
19,KY,195342.2
20,LA,227226.7
21,ME,59753.9
22,MD,384889.1
23,MA,519407.6
24,MI,491774.2
26,MN,339100.1
27,MS,107096.6
28,MO,297582.6
29,MT,45457.9
30,NE,116193.8
31,NV,151215.1
33,NH,78477.9
34,NJ,582427.5
35,NM,91043.6
36,NY,1539555.2
37,NC,519122.1
38,ND,50833.1
39,OH,622835.2
40,OK,178913.2
41,OR,215050.4
42,PA,726163.9
44,RI,57693.9
46,SC,212987.4
47,SD,48606.1
50,TN,335025.7
51,TX,1565632.2
53,UT,157883.3
54,VT,31659.0
55,VA,493877.9
56,WA,491358.2
57,WV,69721.4
58,WI,313532.4
59,WY,35740.3
